ID,ENG
text_help_warrior,"""<align=""center"">Guerriero<br>----------------------------</align><br>Sconfiggi i nemici per avanzare nelle zone. Le statistiche del Guerriero possono essere aumentate anche attraverso altri lavori.<br><br>I nemici possono lasciare delle carte collezionabili.<br>Le carte in eccesso possono essere smantellate in Bit, oppure converti 6 di loro in una casuale."""
text_help_miner,"<align=""center"">Minatore<br>----------------------------</align><br>Ottieni minerali distruggendo rocce e aumenta di livello la tua arma per infliggere più danni ai nemici.<br>Puoi trovare al massimo minerali di una rarità superiore a quella della roccia stessa, non tutte le rocce lasciano minerali."
text_help_fisher,"<align=""center"">Pescatore<br>----------------------------</align><br>Cattura tutti i pesci di un gruppo per sbloccare un bonus.<br>I pesci extra verranno convertiti in Bit.<br>I pesci che puoi trovare variano in base all'orario del giorno, come mattina, pomerigigo e sera.<br>Cambiare lavoro interromperà la sessione di pesca e il tempo di attesa per il prossimo pesce all'amo verrà ripristinato."
text_help_blacksmith,"<align=""center"">Fabbro<br>----------------------------</align><br>Raffina i minerali in metalli per aumentare il livello del tuo equipaggiamento. Questo aumenterà le statistiche del Guerriero.<br>Se il minerale selezionato da forgiare viene esaurito, il Fabbro verrà messo in attesa."
text_help_farmer,"<align=""center"">Agricoltore<br>----------------------------</align><br>Fai crescere delle piante e attrai alcune creature selvagge, una volta che avranno mangiato avrai la possibilità di diventare loro amico.<br>Ogni 5 livelli della statistica Agronomo sbloccherà un nuovo seme.<br>I compagni possono essere equipaggiati per aiutare il Guerriero nel combattimento.<br><br>I compagni extra di una con cui farai amicizia di una stessa specie verranno automaticamente convertiti in Bit.<br><br>I tuoi compagni possono apparire mentre coltivi e passeranno del tempo con te."
text_description_warrior,Descrizione:<br>Sconfiggi i nemici per avanzare nelle zone. I nemici possono lasciare delle carte collezionabili
text_description_miner,Descrizione:<br>Ottieni minerali per aumentare il livello della tua arma e infliggere più danni ai nemici
text_description_blacksmith,Descrizione:<br>Raffina i minerali in metalli per aumentare il livello del tuo equipaggiamento.  Aumenteranno anche le statistiche del Guerriero
text_description_fisher,Descrizione:<br>Pesca nel lago e cattura tutti i pesci di di un gruppo per sbloccare un bonus
text_description_farmer_crops,"Descrizione:<br>Seleziona le piante da far crescere. Attrai creature selvagge, una volta che avranno mangiato avrai la possibilità di diventare loro amico"
text_description_farmer_companions,"I compagni ti aiuteranno a sconfiggere i nemici, equipaggia al massimo 3 compagni alla volta."
